Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-01-01 10:48,1.179,0.074,0,0,0,0,v
2017-01-01 10:54,1.150,0.050,0,0,0,0,v
2017-01-01 11:00,1.152,0.050,0,0,0,0,v
2017-01-01 11:06,1.141,0.050,0,0,0,0,v
2017-01-01 11:12,1.199,0.049,0,0,0,0,v
2017-01-01 11:18,1.152,0.061,0,0,0,0,v
2017-01-01 11:24,1.101,0.054,0,0,0,0,v
2017-01-01 11:30,1.090,0.054,0,0,0,0,v
2017-01-01 11:36,1.087,0.054,0,0,0,0,v
2017-01-01 11:42,1.055,0.057,0,0,0,0,v
2017-01-01 11:48,1.064,0.052,0,0,0,0,v
2017-01-01 11:54,1.062,0.051,0,0,0,0,v
2017-01-01 12:00,1.033,0.059,0,0,0,0,v
2017-01-01 12:06,1.035,0.063,0,0,0,0,v
2017-01-01 12:12,1.033,0.068,0,0,0,0,v
2017-01-01 12:18,1.038,0.065,0,0,0,0,v
2017-01-01 12:24,1.013,0.042,0,0,0,0,v
2017-01-01 12:30,1.017,0.059,0,0,0,0,v
2017-01-01 12:36,0.988,0.056,0,0,0,0,v
2017-01-01 12:42,0.983,0.052,0,0,0,0,v
2017-01-01 12:48,0.936,0.057,0,0,0,0,v
2017-01-01 12:54,0.943,0.056,0,0,0,0,v
2017-01-01 13:00,0.990,0.054,0,0,0,0,v
2017-01-01 13:06,0.965,0.043,0,0,0,0,v
2017-01-01 13:12,0.963,0.060,0,0,0,0,v
2017-01-01 13:18,0.940,0.045,0,0,0,0,v
2017-01-01 13:24,0.939,0.056,0,0,0,0,v
2017-01-01 13:30,0.919,0.055,0,0,0,0,v
2017-01-01 13:36,0.924,0.041,0,0,0,0,v
2017-01-01 13:42,0.953,0.044,0,0,0,0,v
2017-01-01 13:48,0.940,0.041,0,0,0,0,v
2017-01-01 13:54,0.931,0.052,0,0,0,0,v
2017-01-01 14:00,0.939,0.054,0,0,0,0,v
2017-01-01 14:06,0.948,0.047,0,0,0,0,v
2017-01-01 14:12,0.955,0.047,0,0,0,0,v
2017-01-01 14:18,0.953,0.044,0,0,0,0,v
2017-01-01 14:24,0.961,0.046,0,0,0,0,v
2017-01-01 14:30,0.951,0.058,0,0,0,0,v
2017-01-01 14:36,0.954,0.045,0,0,0,0,v
2017-01-01 14:42,0.978,0.048,0,0,0,0,v
2017-01-01 14:48,0.973,0.040,0,0,0,0,v
2017-01-01 14:54,0.990,0.044,0,0,0,0,v
2017-01-01 15:00,1.007,0.044,0,0,0,0,v
2017-01-01 15:06,1.011,0.045,0,0,0,0,v
2017-01-01 15:12,1.038,0.055,0,0,0,0,v
2017-01-01 15:18,1.051,0.050,0,0,0,0,v
2017-01-01 15:24,1.032,0.043,0,0,0,0,v
2017-01-01 15:30,1.070,0.060,0,0,0,0,v
2017-01-01 15:36,1.102,0.060,0,0,0,0,v
2017-01-01 15:42,1.131,0.061,0,0,0,0,v
2017-01-01 15:48,1.145,0.051,0,0,0,0,v
2017-01-01 15:54,1.162,0.051,0,0,0,0,v
2017-01-01 16:00,1.135,0.056,0,0,0,0,v
2017-01-01 16:06,1.166,0.052,0,0,0,0,v
2017-01-01 16:12,1.222,0.060,0,0,0,0,v
2017-01-01 16:18,1.220,0.053,0,0,0,0,v
2017-01-01 16:24,1.243,0.063,0,0,0,0,v
2017-01-01 16:30,1.247,0.061,0,0,0,0,v
2017-01-01 16:36,1.275,0.071,0,0,0,0,v
2017-01-01 16:42,1.312,0.064,0,0,0,0,v
2017-01-01 16:48,1.341,0.063,0,0,0,0,v
2017-01-01 16:54,1.371,0.078,0,0,0,0,v
2017-01-01 17:00,1.391,0.066,0,0,0,0,v
2017-01-01 17:06,1.389,0.066,0,0,0,0,v
2017-01-01 17:12,1.413,0.066,0,0,0,0,v
2017-01-01 17:18,1.433,0.077,0,0,0,0,v
2017-01-01 17:24,1.444,0.064,0,0,0,0,v
2017-01-01 17:30,1.491,0.079,0,0,0,0,v
2017-01-01 17:36,1.515,0.072,0,0,0,0,v
2017-01-01 17:42,1.517,0.062,0,0,0,0,v
2017-01-01 17:48,1.526,0.076,0,0,0,0,v
2017-01-01 17:54,1.546,0.059,0,0,0,0,v
2017-01-01 18:00,1.613,0.090,0,0,0,0,v
2017-01-01 18:06,1.583,0.076,0,0,0,0,v
2017-01-01 18:12,1.591,0.073,0,0,0,0,v
2017-01-01 18:18,1.620,0.081,0,0,0,0,v
2017-01-01 18:24,1.609,0.058,0,0,0,0,v
2017-01-01 18:30,1.648,0.062,0,0,0,0,v
2017-01-01 18:36,1.640,0.081,0,0,0,0,v
2017-01-01 18:42,1.650,0.073,0,0,0,0,v
2017-01-01 18:48,1.650,0.065,0,0,0,0,v
2017-01-01 18:54,1.666,0.079,0,0,0,0,v
2017-01-01 19:00,1.670,0.076,0,0,0,0,v
2017-01-01 19:06,1.681,0.082,0,0,0,0,v
2017-01-01 19:12,1.690,0.074,0,0,0,0,v
2017-01-01 19:18,1.666,0.064,0,0,0,0,v
2017-01-01 19:24,1.680,0.079,0,0,0,0,v
2017-01-01 19:30,1.673,0.081,0,0,0,0,v
2017-01-01 19:36,1.666,0.095,0,0,0,0,v
2017-01-01 19:42,1.670,0.075,0,0,0,0,v
2017-01-01 19:48,1.681,0.078,0,0,0,0,v
2017-01-01 19:54,1.666,0.106,0,0,0,0,v
2017-01-01 20:00,1.658,0.068,0,0,0,0,v
2017-01-01 20:06,1.669,0.079,0,0,0,0,v
2017-01-01 20:12,1.617,0.069,0,0,0,0,v
2017-01-01 20:18,1.607,0.069,0,0,0,0,v
2017-01-01 20:24,1.626,0.075,0,0,0,0,v
2017-01-01 20:30,1.611,0.070,0,0,0,0,v
2017-01-01 20:36,1.597,0.071,0,0,0,0,v
2017-01-01 20:42,1.578,0.078,0,0,0,0,v
2017-01-01 20:48,1.562,0.071,0,0,0,0,v
2017-01-01 20:54,1.529,0.061,0,0,0,0,v
2017-01-01 21:00,1.514,0.080,0,0,0,0,v
2017-01-01 21:06,1.509,0.068,0,0,0,0,v
2017-01-01 21:12,1.468,0.056,0,0,0,0,v
2017-01-01 21:18,1.437,0.068,0,0,0,0,v
2017-01-01 21:24,1.398,0.077,0,0,0,0,v
2017-01-01 21:30,1.385,0.068,0,0,0,0,v
2017-01-01 21:36,1.397,0.076,0,0,0,0,v
