anio,mes,dia,hora(utc),altura(mm)
2016,1,10,9,618 
2016,1,10,10,536 
2016,1,10,11,586 
2016,1,10,12,776 
2016,1,10,13,1073 
2016,1,10,14,1414 
2016,1,10,15,1714 
2016,1,10,16,1885 
2016,1,10,17,1871 
2016,1,10,18,1662 
2016,1,10,19,1286 
2016,1,10,20,817 
2016,1,10,21,350 
2016,1,10,22,-19 
2016,1,10,23,-223 
2016,1,11,0,-233 
2016,1,11,1,-59 
2016,1,11,2,248 
2016,1,11,3,611 
2016,1,11,4,936 
2016,1,11,5,1148 
2016,1,11,6,1209 
2016,1,11,7,1123 
2016,1,11,8,937 
2016,1,11,9,725 
2016,1,11,10,565 
2016,1,11,11,519 
2016,1,11,12,614 
2016,1,11,13,845 
2016,1,11,14,1165 
2016,1,11,15,1500 
2016,1,11,16,1760 
2016,1,11,17,1869 
2016,1,11,18,1786 
2016,1,11,19,1514 
2016,1,11,20,1101 
2016,1,11,21,629 
2016,1,11,22,199 
2016,1,11,23,-106 
2016,1,12,0,-234 
2016,1,12,1,-168 
2016,1,12,2,65 
2016,1,12,3,404 
2016,1,12,4,765 
2016,1,12,5,1060 
2016,1,12,6,1222 
2016,1,12,7,1229 
2016,1,12,8,1100 
2016,1,12,9,890 
2016,1,12,10,678 
2016,1,12,11,539 
2016,1,12,12,524 
2016,1,12,13,650 
2016,1,12,14,898 
2016,1,12,15,1213 
2016,1,12,16,1517 
2016,1,12,17,1725 
2016,1,12,18,1774 
2016,1,12,19,1639 
2016,1,12,20,1336 
2016,1,12,21,921 
2016,1,12,22,483 
2016,1,12,23,113 
2016,1,13,0,-118 
2016,1,13,1,-172 
2016,1,13,2,-47 
2016,1,13,3,223 
2016,1,13,4,569 
2016,1,13,5,909 
2016,1,13,6,1163 
2016,1,13,7,1279 
2016,1,13,8,1244 
2016,1,13,9,1086 
2016,1,13,10,866 
2016,1,13,11,662 
2016,1,13,12,541 
2016,1,13,13,543 
2016,1,13,14,677 
2016,1,13,15,914 
2016,1,13,16,1198 
2016,1,13,17,1454 
2016,1,13,18,1609 
2016,1,13,19,1614 
2016,1,13,20,1454 
2016,1,13,21,1154 
2016,1,13,22,774 
2016,1,13,23,397 
2016,1,14,0,100 
2016,1,14,1,-60 
2016,1,14,2,-54 
2016,1,14,3,110 
2016,1,14,4,392 
2016,1,14,5,724 
2016,1,14,6,1032 
2016,1,14,7,1247 
2016,1,14,8,1326 
2016,1,14,9,1264 
2016,1,14,10,1093 
2016,1,14,11,874 
2016,1,14,12,678 
2016,1,14,13,563 
2016,1,14,14,561 
2016,1,14,15,675 
2016,1,14,16,875 
2016,1,14,17,1109 
2016,1,14,18,1313 
2016,1,14,19,1427 
2016,1,14,20,1413 
2016,1,14,21,1262 
2016,1,14,22,1000 
2016,1,14,23,682 
2016,1,15,0,378 
2016,1,15,1,153 
2016,1,15,2,53 
2016,1,15,3,98 
2016,1,15,4,277 
2016,1,15,5,548 
2016,1,15,6,855 
2016,1,15,7,1130 
2016,1,15,8,1315 
2016,1,15,9,1372 
2016,1,15,10,1299 
2016,1,15,11,1127 
2016,1,15,12,912 
2016,1,15,13,717 
2016,1,15,14,589 
2016,1,15,15,559 
2016,1,15,16,628 
2016,1,15,17,773 
2016,1,15,18,952 
2016,1,15,19,1113 
2016,1,15,20,1209 
2016,1,15,21,1206 
2016,1,15,22,1095 
2016,1,15,23,896 
2016,1,16,0,652 
2016,1,16,1,422 
2016,1,16,2,256 
2016,1,16,3,195 
2016,1,16,4,256 
2016,1,16,5,427 
2016,1,16,6,676 
2016,1,16,7,956 
2016,1,16,8,1208 
2016,1,16,9,1376 
2016,1,16,10,1427 
2016,1,16,11,1356 
2016,1,16,12,1188 
2016,1,16,13,972 
2016,1,16,14,760 
2016,1,16,15,599 
2016,1,16,16,518 
2016,1,16,17,528 
