#72364 EPZ Santa Teresa Observations at 12Z 15 Feb 2017
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
 1000.0, 205, , , , , , , , ,  
 925.0, 855, , , , , , , , ,
 262.0, 10159, -52.1, -72.1, 7, 0.01, 245, 26, 324.1, 324.1, 324.1
 250.0, 10460, -53.1, -74.1, 6, 0.01, 245, 25, 327.0, 327.0, 327.0
 242.0, 10668, -53.9, -75.1, 6, 0.01, 245, 27, 328.9, 328.9, 328.9
 219.9, 11278, -56.2, -77.9, 5, 0.00, 285, 19, 334.5, 334.5, 334.5
 209.6, 11582, -57.3, -79.3, 5, 0.00, 265, 20, 337.3, 337.3, 337.3
 208.0, 11632, -57.5, -79.5, 4, 0.00, 265, 20, 337.7, 337.8, 337.8
 205.0, 11724, -56.7, -79.7, 4, 0.00, 267, 21, 340.4, 340.4, 340.4
 200.0, 11880, -57.1, -82.1, 3, 0.00, 270, 24, 342.2, 342.2, 342.2
 195.0, 12040, -57.7, -82.7, 3, 0.00, 269, 21, 343.7, 343.7, 343.7
 192.0, 12139, -55.3, -82.3, 2, 0.00, 268, 19, 349.1, 349.1, 349.1
 190.0, 12206, -55.1, -83.1, 2, 0.00, 267, 18, 350.4, 350.5, 350.4
 183.0, 12446, -56.5, -86.5, 1, 0.00, 265, 14, 351.9, 352.0, 352.0
 181.5, 12497, -56.5, -86.7, 1, 0.00, 265, 13, 352.7, 352.7, 352.7
 173.0, 12802, -56.8, -87.7, 1, 0.00, 260, 21, 357.1, 357.1, 357.1
 171.0, 12877, -56.9, -87.9, 1, 0.00, 265, 22, 358.2, 358.2, 358.2
 166.0, 13065, -55.7, -87.7, 1, 0.00, 277, 24, 363.2, 363.2, 363.2
 157.2, 13411, -56.8, -88.8, 1, 0.00, 300, 29, 367.0, 367.0, 367.0
 155.0, 13502, -57.1, -89.1, 1, 0.00, 300, 28, 368.0, 368.0, 368.0
 150.0, 13710, -56.5, -88.5, 1, 0.00, 300, 26, 372.5, 372.5, 372.5
 144.0, 13969, -55.9, -87.9, 1, 0.00, 301, 22, 377.9, 377.9, 377.9
 129.7, 14630, -58.2, -89.2, 1, 0.00, 305, 12, 385.3, 385.3, 385.3
 129.0, 14664, -58.3, -89.3, 1, 0.00, 302, 13, 385.7, 385.7, 385.7
 117.6, 15240, -61.5, -91.1, 1, 0.00, 255, 21, 390.1, 390.1, 390.1
 113.0, 15487, -62.9, -91.9, 1, 0.00, 270, 32, 392.0, 392.0, 392.0
 111.9, 15545, -62.9, -91.8, 1, 0.00, 280, 37, 393.1, 393.1, 393.1
 106.0, 15880, -62.9, -90.9, 1, 0.00, 295, 35, 399.2, 399.2, 399.2
 102.0, 16117, -61.3, -90.3, 1, 0.00, 305, 33, 406.7, 406.7, 406.7
 100.0, 16240, -61.7, -90.7, 1, 0.00, 310, 32, 408.2, 408.2, 408.2
 89.3, 16941, -61.3, -91.3, 1, 0.00, 310, 26, 422.5, 422.5, 422.5
 80.4, 17589, -63.7, -91.7, 1, 0.00, 310, 21, 430.4, 430.4, 430.4
 76.2, 17919, -62.5, -90.5, 1, 0.00, 310, 18, 439.5, 439.6, 439.5
 71.8, 18288, -63.8, -91.8, 1, 0.00, 310, 15, 444.4, 444.5, 444.4
 70.0, 18440, -64.3, -92.3, 1, 0.00, 295, 15, 446.5, 446.5, 446.5
 64.3, 18955, -67.3, -93.3, 1, 0.00, 305, 13, 450.9, 450.9, 450.9
 58.6, 19507, -68.3, -93.6, 2, 0.00, 315, 10, 460.6, 460.6, 460.6
 56.6, 19720, -68.7, -93.7, 2, 0.00, 297, 14, 464.4, 464.4, 464.4
 55.8, 19812, -67.8, -92.8, 2, 0.00, 290, 16, 468.4, 468.5, 468.4
 53.9, 20015, -65.9, -90.9, 2, 0.00, 307, 18, 477.4, 477.4, 477.4
 53.0, 20117, -66.1, -91.7, 2, 0.00, 315, 19, 479.2, 479.2, 479.2
 52.4, 20186, -66.3, -92.3, 2, 0.00, 317, 20, 480.4, 480.4, 480.4
 50.4, 20422, -65.3, -92.1, 1, 0.00, 325, 24, 488.1, 488.1, 488.1
 50.0, 20470, -65.1, -92.1, 1, 0.00, 325, 20, 489.7, 489.7, 489.7
 48.8, 20619, -63.9, -91.9, 1, 0.00, 346, 19, 495.9, 495.9, 495.9
 46.8, 20876, -63.3, -92.3, 1, 0.00, 21, 17, 503.3, 503.3, 503.3
 43.4, 21336, -65.3, -93.4, 1, 0.00, 85, 13, 509.3, 509.3, 509.3
 43.1, 21379, -65.5, -93.5, 1, 0.00, 82, 13, 509.9, 509.9, 509.9
 37.4, 22250, -62.0, -92.0, 1, 0.00, 30, 20, 539.9, 539.9, 539.9
 37.2, 22283, -61.9, -91.9, 1, 0.00, 33, 19, 541.0, 541.0, 541.0
 35.6, 22555, -62.8, -92.8, 1, 0.00, 60, 14, 545.6, 545.6, 545.6
 35.4, 22590, -62.9, -92.9, 1, 0.00, 61, 14, 546.1, 546.2, 546.1
 33.9, 22860, -61.0, -92.0, 1, 0.00, 65, 12, 558.0, 558.0, 558.0
 33.8, 22876, -60.9, -91.9, 1, 0.00, 64, 12, 558.7, 558.7, 558.7
 32.3, 23165, -60.9, -91.9, 1, 0.00, 40, 4, 566.1, 566.2, 566.1
 32.1, 23197, -60.9, -91.9, 1, 0.00, 42, 4, 567.0, 567.0, 567.0
 30.0, 23620, -58.7, -89.7, 1, 0.00, 65, 6, 584.0, 584.1, 584.0
 28.9, 23855, -57.3, -89.3, 1, 0.00, 57, 7, 594.1, 594.2, 594.1
 26.6, 24384, -59.4, -90.6, 1, 0.00, 40, 10, 602.8, 602.8, 602.8
 26.0, 24519, -59.9, -90.9, 1, 0.00, 42, 10, 605.0, 605.0, 605.0
 25.5, 24640, -58.5, -89.5, 1, 0.01, 43, 10, 612.4, 612.4, 612.4
 23.9, 25047, -59.3, -90.3, 1, 0.00, 47, 10, 621.5, 621.5, 621.5
 22.0, 25570, -55.1, -87.1, 1, 0.01, 53, 11, 648.9, 649.0, 648.9
 20.2, 26116, -53.9, -86.9, 1, 0.01, 59, 11, 668.5, 668.6, 668.5
 20.0, 26180, -52.9, -85.9, 1, 0.01, 60, 11, 673.5, 673.6, 673.5
 19.7, 26278, -52.1, -85.1, 1, 0.01, 52, 10, 678.9, 679.0, 678.9
 17.7, 26971, -51.9, -84.9, 1, 0.02, 353, 7, 700.6, 700.8, 700.6
 16.5, 27432, -49.8, -83.3, 1, 0.02, 315, 4, 721.7, 722.0, 721.8
 15.6, 27796, -48.1, -82.1, 1, 0.03, 310, 4, 738.8, 739.1, 738.8
 14.7, 28186, -49.5, -83.5, 1, 0.03, 306, 5, 746.8, 747.1, 746.8
 14.2, 28413, -47.3, -82.3, 1, 0.03, 303, 5, 761.6, 762.0, 761.6
 13.3, 28846, -47.3, -82.3, 1, 0.03, 298, 6, 776.0, 776.4, 776.0
 12.4, 29308, -49.1, -83.1, 1, 0.03, 292, 6, 785.4, 785.8, 785.4
 11.4, 29870, -47.7, -82.4, 1, 0.04, 285, 7, 809.6, 810.1, 809.7
 10.8, 30218, -46.9, -81.9, 1, 0.05, , , 825.0, 825.6, 825.0
